Problem,Variable Ordering,Pre-processing,Measure,Data
puget2,ldf,None,Backtracks,851
puget2,ldf,None,Backtracked left branches,101
puget2,ldf,None,Average left branch length,17.594059
puget2,ldf,None,Longest backtracked left branch,173.000000
puget2,ldf,None,Longest chain of successful assignments,29
puget2,ldf,None,First ten assignments backtracked,1
puget2,ldf,SAC,Assignments,475
puget2,ldf,SAC,Solutions,1
puget2,ldf,SAC,Dead Ends,427
puget2,ldf,SAC,Backtracks,851
puget2,ldf,SAC,Backtracked left branches,101
puget2,ldf,SAC,Average left branch length,17.594059
puget2,ldf,SAC,Longest backtracked left branch,173.000000
puget2,ldf,SAC,Longest chain of successful assignments,29
puget2,ldf,SAC,First ten assignments backtracked,1
puget2,ldf,SACBounds,Assignments,475
puget2,ldf,SACBounds,Solutions,1
puget2,ldf,SACBounds,Dead Ends,427
puget2,ldf,SACBounds,Backtracks,851
puget2,ldf,SACBounds,Backtracked left branches,101
puget2,ldf,SACBounds,Average left branch length,17.594059
puget2,ldf,SACBounds,Longest backtracked left branch,173.000000
puget2,ldf,SACBounds,Longest chain of successful assignments,29
puget2,ldf,SACBounds,First ten assignments backtracked,1
puget2,ldf,SSAC,Assignments,314
puget2,ldf,SSAC,Solutions,1
puget2,ldf,SSAC,Dead Ends,266
puget2,ldf,SSAC,Backtracks,530
puget2,ldf,SSAC,Backtracked left branches,59
puget2,ldf,SSAC,Average left branch length,19.796610
puget2,ldf,SSAC,Longest backtracked left branch,173.000000
puget2,ldf,SSAC,Longest chain of successful assignments,29
puget2,ldf,SSAC,First ten assignments backtracked,1
puget2,ldf,SSACBounds,Assignments,314
puget2,ldf,SSACBounds,Solutions,1
puget2,ldf,SSACBounds,Dead Ends,266
puget2,ldf,SSACBounds,Backtracks,530
puget2,ldf,SSACBounds,Backtracked left branches,59
puget2,ldf,SSACBounds,Average left branch length,19.796610
puget2,ldf,SSACBounds,Longest backtracked left branch,173.000000
puget2,ldf,SSACBounds,Longest chain of successful assignments,29
puget2,ldf,SSACBounds,First ten assignments backtracked,1
puget2,None,GAC,Assignments,475
puget2,None,GAC,Solutions,1
puget2,None,GAC,Dead Ends,427
puget2,None,GAC,Backtracks,851
puget2,None,GAC,Backtracked left branches,101
puget2,None,GAC,Average left branch length,17.594059
puget2,None,GAC,Longest backtracked left branch,173.000000
puget2,None,GAC,Longest chain of successful assignments,29
puget2,None,GAC,First ten assignments backtracked,1
puget2,None,None,Assignments,475
puget2,None,None,Solutions,1
puget2,None,None,Dead Ends,427
puget2,None,None,Backtracks,851
puget2,None,None,Backtracked left branches,101
puget2,None,None,Average left branch length,17.594059
puget2,None,None,Longest backtracked left branch,173.000000
puget2,None,None,Longest chain of successful assignments,29
puget2,None,None,First ten assignments backtracked,1
puget2,None,SAC,Assignments,475
puget2,None,SAC,Solutions,1
puget2,None,SAC,Dead Ends,427
puget2,None,SAC,Backtracks,851
puget2,None,SAC,Backtracked left branches,101
puget2,None,SAC,Average left branch length,17.594059
puget2,None,SAC,Longest backtracked left branch,173.000000
puget2,None,SAC,Longest chain of successful assignments,29
puget2,None,SAC,First ten assignments backtracked,1
puget2,None,SACBounds,Assignments,475
puget2,None,SACBounds,Solutions,1
puget2,None,SACBounds,Dead Ends,427
puget2,None,SACBounds,Backtracks,851
puget2,None,SACBounds,Backtracked left branches,101
puget2,None,SACBounds,Average left branch length,17.594059
puget2,None,SACBounds,Longest backtracked left branch,173.000000
puget2,None,SACBounds,Longest chain of successful assignments,29
puget2,None,SACBounds,First ten assignments backtracked,1
puget2,None,SSAC,Assignments,314
puget2,None,SSAC,Solutions,1
puget2,None,SSAC,Dead Ends,266
puget2,None,SSAC,Backtracks,530
puget2,None,SSAC,Backtracked left branches,59
puget2,None,SSAC,Average left branch length,19.796610
puget2,None,SSAC,Longest backtracked left branch,173.000000
puget2,None,SSAC,Longest chain of successful assignments,29
puget2,None,SSAC,First ten assignments backtracked,1
puget2,None,SSACBounds,Assignments,314
puget2,None,SSACBounds,Solutions,1
puget2,None,SSACBounds,Dead Ends,266
puget2,None,SSACBounds,Backtracks,530
puget2,None,SSACBounds,Backtracked left branches,59
puget2,None,SSACBounds,Average left branch length,19.796610
puget2,None,SSACBounds,Longest backtracked left branch,173.000000
puget2,None,SSACBounds,Longest chain of successful assignments,29
puget2,None,SSACBounds,First ten assignments backtracked,1
puget2,sdf,GAC,Assignments,475
puget2,sdf,GAC,Solutions,1
puget2,sdf,GAC,Dead Ends,427
puget2,sdf,GAC,Backtracks,851
puget2,sdf,GAC,Backtracked left branches,101
puget2,sdf,GAC,Average left branch length,17.594059
puget2,sdf,GAC,Longest backtracked left branch,173.000000
puget2,sdf,GAC,Longest chain of successful assignments,29
puget2,sdf,GAC,First ten assignments backtracked,1
puget2,sdf,None,Assignments,475
puget2,sdf,None,Solutions,1
puget2,sdf,None,Dead Ends,427
puget2,sdf,None,Backtracks,851
puget2,sdf,None,Backtracked left branches,101
puget2,sdf,None,Average left branch length,17.594059
puget2,sdf,None,Longest backtracked left branch,173.000000
puget2,sdf,None,Longest chain of successful assignments,29
puget2,sdf,None,First ten assignments backtracked,1
puget2,sdf,SAC,Assignments,475
puget2,sdf,SAC,Solutions,1
puget2,sdf,SAC,Dead Ends,427
puget2,sdf,SAC,Backtracks,851
puget2,sdf,SAC,Backtracked left branches,101
puget2,sdf,SAC,Average left branch length,17.594059
puget2,sdf,SAC,Longest backtracked left branch,173.000000
puget2,sdf,SAC,Longest chain of successful assignments,29
puget2,sdf,SAC,First ten assignments backtracked,1
puget2,sdf,SACBounds,Assignments,475
puget2,sdf,SACBounds,Solutions,1
puget2,sdf,SACBounds,Dead Ends,427
puget2,sdf,SACBounds,Backtracks,851
puget2,sdf,SACBounds,Backtracked left branches,101
puget2,sdf,SACBounds,Average left branch length,17.594059
puget2,sdf,SACBounds,Longest backtracked left branch,173.000000
puget2,sdf,SACBounds,Longest chain of successful assignments,29
puget2,sdf,SACBounds,First ten assignments backtracked,1
puget2,sdf,SSAC,Assignments,314
puget2,sdf,SSAC,Solutions,1
puget2,sdf,SSAC,Dead Ends,266
puget2,sdf,SSAC,Backtracks,530
puget2,sdf,SSAC,Backtracked left branches,59
puget2,sdf,SSAC,Average left branch length,19.796610
puget2,sdf,SSAC,Longest backtracked left branch,173.000000
puget2,sdf,SSAC,Longest chain of successful assignments,29
puget2,sdf,SSAC,First ten assignments backtracked,1
puget2,sdf,SSACBounds,Assignments,314
puget2,sdf,SSACBounds,Solutions,1
puget2,sdf,SSACBounds,Dead Ends,266
puget2,sdf,SSACBounds,Backtracks,530
puget2,sdf,SSACBounds,Backtracked left branches,59
puget2,sdf,SSACBounds,Average left branch length,19.796610
puget2,sdf,SSACBounds,Longest backtracked left branch,173.000000
puget2,sdf,SSACBounds,Longest chain of successful assignments,29
puget2,sdf,SSACBounds,First ten assignments backtracked,1
puget2,srf,GAC,Assignments,475
puget2,srf,GAC,Solutions,1
puget2,srf,GAC,Dead Ends,427
puget2,srf,GAC,Backtracks,851
puget2,srf,GAC,Backtracked left branches,101
puget2,srf,GAC,Average left branch length,17.594059
puget2,srf,GAC,Longest backtracked left branch,173.000000
puget2,srf,GAC,Longest chain of successful assignments,29
puget2,srf,GAC,First ten assignments backtracked,1
puget2,srf,None,Assignments,475
puget2,srf,None,Solutions,1
puget2,srf,None,Dead Ends,427
puget2,srf,None,Backtracks,851
puget2,srf,None,Backtracked left branches,101
puget2,srf,None,Average left branch length,17.594059
puget2,srf,None,Longest backtracked left branch,173.000000
puget2,srf,None,Longest chain of successful assignments,29
puget2,srf,None,First ten assignments backtracked,1
puget2,srf,SAC,Assignments,475
puget2,srf,SAC,Solutions,1
puget2,srf,SAC,Dead Ends,427
puget2,srf,SAC,Backtracks,851
puget2,srf,SAC,Backtracked left branches,101
puget2,srf,SAC,Average left branch length,17.594059
puget2,srf,SAC,Longest backtracked left branch,173.000000
puget2,srf,SAC,Longest chain of successful assignments,29
puget2,srf,SAC,First ten assignments backtracked,1
puget2,srf,SACBounds,Assignments,475
puget2,srf,SACBounds,Solutions,1
puget2,srf,SACBounds,Dead Ends,427
puget2,srf,SACBounds,Backtracks,851
