:TYPE,:START_ID,action,:END_ID
BACKTRACK,Dead_End_70,,85
EQUALS,86,AnyVarRef:Bool:Bool:31 = 0,Dead_End_71
NOT_EQUALS,86,AnyVarRef:Bool:Bool:31 != 0,Dead_End_72
BACKTRACK,86,,85
BACKTRACK,Dead_End_71,,86
BACKTRACK,Dead_End_72,,86
EQUALS,87,AnyVarRef:Bool:Bool:31 = 0,88
NOT_EQUALS,87,AnyVarRef:Bool:Bool:31 != 0,Dead_End_75
BACKTRACK,87,,84
EQUALS,88,AnyVarRef:Bool:Bool:32 = 0,Dead_End_73
NOT_EQUALS,88,AnyVarRef:Bool:Bool:32 != 0,Dead_End_74
BACKTRACK,88,,87
BACKTRACK,Dead_End_73,,88
BACKTRACK,Dead_End_74,,88
BACKTRACK,Dead_End_75,,87
EQUALS,89,AnyVarRef:Bool:Bool:31 = 0,90
NOT_EQUALS,89,AnyVarRef:Bool:Bool:31 != 0,Dead_End_79
BACKTRACK,89,,83
EQUALS,90,AnyVarRef:Bool:Bool:32 = 0,91
NOT_EQUALS,90,AnyVarRef:Bool:Bool:32 != 0,Dead_End_78
BACKTRACK,90,,89
EQUALS,91,AnyVarRef:Bool:Bool:33 = 0,Dead_End_76
NOT_EQUALS,91,AnyVarRef:Bool:Bool:33 != 0,Dead_End_77
BACKTRACK,91,,90
BACKTRACK,Dead_End_76,,91
BACKTRACK,Dead_End_77,,91
BACKTRACK,Dead_End_78,,90
BACKTRACK,Dead_End_79,,89
BACKTRACK,Dead_End_80,,82
EQUALS,92,AnyVarRef:Bool:Bool:23 = 0,93
NOT_EQUALS,92,AnyVarRef:Bool:Bool:23 != 0,Dead_End_96
BACKTRACK,92,,67
EQUALS,93,AnyVarRef:Bool:Bool:24 = 0,94
NOT_EQUALS,93,AnyVarRef:Bool:Bool:24 != 0,103
BACKTRACK,93,,92
EQUALS,94,AnyVarRef:Bool:Bool:25 = 0,95
NOT_EQUALS,94,AnyVarRef:Bool:Bool:25 != 0,100
BACKTRACK,94,,93
EQUALS,95,AnyVarRef:Bool:Bool:26 = 0,96
NOT_EQUALS,95,AnyVarRef:Bool:Bool:26 != 0,98
BACKTRACK,95,,94
EQUALS,96,AnyVarRef:Bool:Bool:27 = 0,Dead_End_81
NOT_EQUALS,96,AnyVarRef:Bool:Bool:27 != 0,97
BACKTRACK,96,,95
BACKTRACK,Dead_End_81,,96
EQUALS,97,AnyVarRef:Bool:Bool:31 = 0,Dead_End_82
NOT_EQUALS,97,AnyVarRef:Bool:Bool:31 != 0,Dead_End_83
BACKTRACK,97,,96
BACKTRACK,Dead_End_82,,97
BACKTRACK,Dead_End_83,,97
EQUALS,98,AnyVarRef:Bool:Bool:31 = 0,99
NOT_EQUALS,98,AnyVarRef:Bool:Bool:31 != 0,Dead_End_86
BACKTRACK,98,,95
EQUALS,99,AnyVarRef:Bool:Bool:32 = 0,Dead_End_84
NOT_EQUALS,99,AnyVarRef:Bool:Bool:32 != 0,Dead_End_85
BACKTRACK,99,,98
BACKTRACK,Dead_End_84,,99
BACKTRACK,Dead_End_85,,99
BACKTRACK,Dead_End_86,,98
EQUALS,100,AnyVarRef:Bool:Bool:31 = 0,101
NOT_EQUALS,100,AnyVarRef:Bool:Bool:31 != 0,Dead_End_90
BACKTRACK,100,,94
EQUALS,101,AnyVarRef:Bool:Bool:32 = 0,102
NOT_EQUALS,101,AnyVarRef:Bool:Bool:32 != 0,Dead_End_89
BACKTRACK,101,,100
